('cen', 'giz'): 326
('giz', 'wtspc'): 358
('wtspc', 'han'): 327
('han', 'cen'): 1
('han', 'wtspc'): 330
('wtspc', 'ceng'): 2
('ceng', 'his'): 1
('his', 'wtspc'): 28
('wtspc', 'k'): 961
('k', 'han'): 1
('wtspc', 'cing'): 1
('cing', 'gis'): 1
('gis', 'wtspc'): 44
('wtspc', 'h'): 224
('h', 'aan'): 2
('aan', 'wtspc'): 4
('wtspc', 'ya'): 7833
('ya', 'wtspc'): 5249
('wtspc', 'da'): 5194
('da', 'wtspc'): 15449
('wtspc', 'do'): 2906
('do', 'gum'): 59
('gum', 'wtspc'): 62
('wtspc', 'a'): 13066
('a', 'diy'): 119
('diy', 'la'): 131
('la', 'wtspc'): 3993
('wtspc', 'te'): 1758
('te', 'mu'): 128
('mu', 'cin'): 60
('cin', 'wtspc'): 2206
('wtspc', 'an'): 2027
('an', 'la'): 599
('la', 'mi'): 235
('mi', 'wtspc'): 2873
('wtspc', 'de'): 6035
('de', 'mir'): 119
('mir', 'ci'): 4
('ci', 'wtspc'): 2143
('wtspc', 'mo'): 1155
('mo', 'gol'): 154
('gol', 'ca'): 7
('ca', 'wtspc'): 2108
('wtspc', 'wtspc'): 8429
('wtspc', 'ten'): 45
('ten', 'giz'): 1
('de', 'niz'): 284
('niz', 'wtspc'): 267
('wtspc', 'endsntnc'): 1977
('endsntnc', 'bgnsntnc'): 21672
('bgnsntnc', 'd'): 42
('d', 'endsntnc'): 62
('bgnsntnc', 'wtspc'): 1183
('wtspc', 'o'): 13796
('o', 'endsntnc'): 45
('a', 'gus'): 146
('gus', 'tos'): 136
('tos', 'wtspc'): 142
('gol', 'wtspc'): 145
('wtspc', 'ko'): 2763
('ko', 'mu'): 256
('mu', 'tan'): 65
('tan', 'wtspc'): 1040
('wtspc', 'hu'): 577
('hu', 'kum'): 111
('kum', 'dar'): 35
('dar', 'wtspc'): 873
('wtspc', 've'): 14485
('ve', 'wtspc'): 12776
('wtspc', 'i'): 15369
('i', 'm'): 206
('m', 'pa'): 193
('pa', 'ra'): 504
('ra', 'tor'): 251
('tor', 'lu'): 194
('lu', 'gu'): 673
('gu', 'nun'): 205
('nun', 'wtspc'): 1962
('wtspc', 'ku'): 3423
('ku', 'ru'): 676
('ru', 'cu'): 148
('cu', 'su'): 153
('su', 'dur'): 60
('dur', 'endsntnc'): 487
('bgnsntnc', 'cen'): 97
('bgnsntnc', 'yuz'): 447
('yuz', 'yi'): 148
('yi', 'lin'): 1631
('lin', 'wtspc'): 703
('wtspc', 'ba'): 3222
('ba', 'sin'): 172
('sin', 'da'): 2740
('wtspc', 'or'): 2486
('or', 'ta'): 1073
('ta', 'wtspc'): 1776
('wtspc', 'as'): 607
('as', 'ya'): 83
('ya', 'da'): 390
('da', 'ki'): 1734
('ki', 'wtspc'): 5553
('wtspc', 'tum'): 346
('tum', 'wtspc'): 445
('wtspc', 'go'): 2583
('go', 'ce'): 19
('ce', 'be'): 52
('be', 'wtspc'): 203
('wtspc', 'boz'): 47
('boz', 'kir'): 16
('kir', 'wtspc'): 115
('wtspc', 'ka'): 6217
('ka', 'vim'): 22
('vim', 'le'): 17
('le', 'ri'): 6175
('ri', 'ni'): 1987
('ni', 'wtspc'): 9528
('wtspc', 'bir'): 9409
('bir', 'les'): 182
('les', 'ti'): 467
('ti', 're'): 95
('re', 'rek'): 137
('rek', 'wtspc'): 1011
('bir', 'wtspc'): 7735
('wtspc', 'u'): 5116
('u', 'lus'): 239
('lus', 'wtspc'): 145
('wtspc', 'ha'): 3087
('ha', 'li'): 241
('li', 'ne'): 268
('ne', 'wtspc'): 5009
('wtspc', 'ge'): 5359
('ge', 'tir'): 184
('tir', 'di'): 278
('di', 'wtspc'): 2049
('o', 'wtspc'): 399
('u', 'lu'): 148
('lu', 'su'): 161
('su', 'wtspc'): 1166
('wtspc', 'si'): 2812
('si', 'ya'): 357
('ya', 'si'): 307
('si', 'wtspc'): 9404
('wtspc', 'kim'): 226
('kim', 'li'): 32
('li', 'gi'): 2345
('gi', 'wtspc'): 5455
('wtspc', 'ca'): 1774
('ca', 'ti'): 47
('ti', 'si'): 357
('wtspc', 'al'): 2198
('al', 'tin'): 353
('tin', 'da'): 308
('wtspc', 'top'): 1329
('top', 'la'): 244
('la', 'di'): 750
('di', 'endsntnc'): 3914
('bgnsntnc', 'dun'): 144
('dun', 'ya'): 1083
('wtspc', 'ta'): 5960
('ta', 'ri'): 896
('ri', 'hi'): 266
('hi', 'nin'): 64
('nin', 'wtspc'): 9814
('wtspc', 'en'): 2005
('en', 'wtspc'): 1650
('wtspc', 'bu'): 6680
('bu', 'yuk'): 1309
('yuk', 'wtspc'): 1199
('as', 'ke'): 111
('ke', 'ri'): 109
('ri', 'wtspc'): 10538
('de', 'ha'): 4
('ha', 'la'): 125
('la', 'rin'): 3511
('rin', 'dan'): 444
('dan', 'wtspc'): 5258
('wtspc', 'bi'): 4006
('bi', 'ri'): 710
('o', 'la'): 3895
('la', 'rak'): 3504
('rak', 'wtspc'): 4358
('ka', 'bul'): 422
('bul', 'wtspc'): 670
('wtspc', 'e'): 6123
('e', 'di'): 721
('di', 'len'): 279
('len', 'wtspc'): 1699
('wtspc', 'cen'): 241
('dar', 'li'): 26
('do', 'ne'): 562
('ne', 'min'): 348
('min', 'de'): 545
('de', 'wtspc'): 12922
('a', 'ra'): 1945
('ra', 'sin'): 1402
('ku', 'zey'): 301
('zey', 'wtspc'): 251
('wtspc', 'cin'): 233
('cin', 'de'): 599
('de', 'ki'): 1286
