('cen', 'giz'): 0.6257197696737045
('giz', 'wtspc'): 0.7442827442827443
('wtspc', 'han'): 0.0008953384899719351
('han', 'cen'): 0.001445086705202312
('han', 'wtspc'): 0.476878612716763
('wtspc', 'ceng'): 5.476076391265658e-06
('ceng', 'his'): 0.5
('his', 'wtspc'): 0.2204724409448819
('wtspc', 'k'): 0.0026312547060031487
('k', 'han'): 0.0007662835249042146
('wtspc', 'cing'): 2.738038195632829e-06
('cing', 'gis'): 0.16666666666666666
('gis', 'wtspc'): 0.10091743119266056
('wtspc', 'h'): 0.0006133205558217537
('h', 'aan'): 0.003738317757009346
('aan', 'wtspc'): 0.4444444444444444
('wtspc', 'ya'): 0.02144705318639195
('ya', 'wtspc'): 0.30501481782788076
('wtspc', 'da'): 0.014221370388116914
('da', 'wtspc'): 0.7061754353887645
('wtspc', 'do'): 0.007956738996509002
('do', 'gum'): 0.015108834827144686
('gum', 'wtspc'): 0.6458333333333334
('wtspc', 'a'): 0.035775207064138545
('a', 'diy'): 0.00853413654618474
('diy', 'la'): 0.8343949044585988
('la', 'wtspc'): 0.1328387504574337
('wtspc', 'te'): 0.004813471147922513
('te', 'mu'): 0.013543540366098826
('mu', 'cin'): 0.01838235294117647
('cin', 'wtspc'): 0.7143782383419689
('wtspc', 'an'): 0.005550003422547745
('an', 'la'): 0.23883572567783093
('la', 'mi'): 0.007817958015902059
('mi', 'wtspc'): 0.43689172749391725
('wtspc', 'de'): 0.016524060510644124
('de', 'mir'): 0.0056065959952885745
('mir', 'ci'): 0.015444015444015444
('ci', 'wtspc'): 0.303756201275691
('wtspc', 'mo'): 0.0031624341159559176
('mo', 'gol'): 0.07845134997452878
('gol', 'ca'): 0.021406727828746176
('ca', 'wtspc'): 0.3822996010155967
('wtspc', 'wtspc'): 0.023078923950989115
('wtspc', 'ten'): 0.00012321171880347732
('ten', 'giz'): 0.0013477088948787063
('de', 'niz'): 0.013380447585394582
('niz', 'wtspc'): 0.3830703012912482
('wtspc', 'endsntnc'): 0.005413101512766103
('endsntnc', 'bgnsntnc'): 0.728764543681485
('bgnsntnc', 'd'): 0.001937984496124031
('d', 'endsntnc'): 0.06042884990253411
('bgnsntnc', 'wtspc'): 0.05458656330749354
('wtspc', 'o'): 0.03777397494695051
('o', 'endsntnc'): 0.0031446540880503146
('a', 'gus'): 0.01047045324153758
('gus', 'tos'): 0.5964912280701754
('tos', 'wtspc'): 0.8022598870056498
('gol', 'wtspc'): 0.4434250764525994
('wtspc', 'ko'): 0.007565199534533507
('ko', 'mu'): 0.06341342581124597
('mu', 'tan'): 0.01991421568627451
('tan', 'wtspc'): 0.46741573033707867
('wtspc', 'hu'): 0.0015798480388801424
('hu', 'kum'): 0.10393258426966293
('kum', 'dar'): 0.21084337349397592
('dar', 'wtspc'): 0.8166510757717493
('wtspc', 've'): 0.03966048326374153
('ve', 'wtspc'): 0.8366732154551408
('wtspc', 'i'): 0.04208090902868095
('i', 'm'): 0.012350860363331134
('m', 'pa'): 0.2208237986270023
('pa', 'ra'): 0.19550038789759502
('ra', 'tor'): 0.018412558685446008
('tor', 'lu'): 0.3134087237479806
('lu', 'gu'): 0.10900550696469063
('gu', 'nun'): 0.03410981697171381
('nun', 'wtspc'): 0.7508610792192881
('wtspc', 'ku'): 0.009372304743651173
('ku', 'ru'): 0.13474187761610523
('ru', 'cu'): 0.03332582751632515
('cu', 'su'): 0.07162921348314606
('su', 'dur'): 0.014071294559099437
('dur', 'endsntnc'): 0.5387168141592921
('bgnsntnc', 'cen'): 0.004475821336286452
('bgnsntnc', 'yuz'): 0.020625692137320045
('yuz', 'yi'): 0.18877551020408162
('yi', 'lin'): 0.24783467558121866
('lin', 'wtspc'): 0.20051340559041642
('wtspc', 'ba'): 0.008821959066328976
('ba', 'sin'): 0.03332687463669831
('sin', 'da'): 0.45251857968620973
('wtspc', 'or'): 0.006806762954343213
('or', 'ta'): 0.3787504412283798
('ta', 'wtspc'): 0.13025302530253025
('wtspc', 'as'): 0.0016619891847491272
('as', 'ya'): 0.11942446043165468
('ya', 'da'): 0.02266256028822128
('da', 'ki'): 0.0792613246788865
('ki', 'wtspc'): 0.4512066303729585
('wtspc', 'tum'): 0.0009473612156889589
('tum', 'wtspc'): 0.9270833333333334
('wtspc', 'go'): 0.007072352659319598
('go', 'ce'): 0.006369426751592357
('ce', 'be'): 0.007513365120647306
('be', 'wtspc'): 0.06489769820971868
('wtspc', 'boz'): 0.00012868779519474298
('boz', 'kir'): 0.2962962962962963
('kir', 'wtspc'): 0.21256931608133087
('wtspc', 'ka'): 0.0170223834622493
('ka', 'vim'): 0.0021515892420537895
('vim', 'le'): 0.30357142857142855
('le', 'ri'): 0.24708895202272818
('ri', 'ni'): 0.08133442488743349
('ni', 'wtspc'): 0.6802798800514065
('wtspc', 'bir'): 0.02576220138270929
('bir', 'les'): 0.017853639395722973
('les', 'ti'): 0.3856317093311313
('ti', 're'): 0.007832467639541594
('re', 'rek'): 0.01619385342789598
('rek', 'wtspc'): 0.6451818761965539
('bir', 'wtspc'): 0.7587796743182265
('wtspc', 'u'): 0.014007803408857553
('u', 'lus'): 0.04473979782852864
('lus', 'wtspc'): 0.11060259344012205
('wtspc', 'ha'): 0.008452323909918543
('ha', 'li'): 0.0435647143890094
('li', 'ne'): 0.01460013074743953
('ne', 'wtspc'): 0.5226419031719532
('wtspc', 'ge'): 0.014673146690396332
('ge', 'tir'): 0.02304897908054616
('tir', 'di'): 0.047708941136090616
('di', 'wtspc'): 0.13656358304452146
('o', 'wtspc'): 0.027882599580712788
('u', 'lu'): 0.027704979408461252
('lu', 'su'): 0.026077097505668934
('su', 'wtspc'): 0.27345215759849906
('wtspc', 'si'): 0.0076993634061195155
('si', 'ya'): 0.01655613782868803
('ya', 'si'): 0.01783950258585624
('si', 'wtspc'): 0.4361174233640959
('wtspc', 'kim'): 0.0006187966322130194
('kim', 'li'): 0.030505243088655862
('li', 'gi'): 0.12775114404009588
('gi', 'wtspc'): 0.424579701120797
('wtspc', 'ca'): 0.004857279759052638
('ca', 'ti'): 0.008523757707653247
('ti', 'si'): 0.029433588919119465
('wtspc', 'al'): 0.006018207954000958
('al', 'tin'): 0.15248380129589634
('tin', 'da'): 0.2204724409448819
('wtspc', 'top'): 0.00363885276199603
('top', 'la'): 0.168391994478951
('la', 'di'): 0.024950929837985296
('di', 'endsntnc'): 0.2608637696614236
('bgnsntnc', 'dun'): 0.006644518272425249
('dun', 'ya'): 0.8920922570016474
('wtspc', 'ta'): 0.01631870764597166
('ta', 'ri'): 0.06571323799046572
('ri', 'hi'): 0.010888252148997135
('hi', 'nin'): 0.04601006470165349
('nin', 'wtspc'): 0.9394983725828068
('wtspc', 'en'): 0.005489766582243823
