('cinl', 'le'): 1.0
('jir', 'ko'): 1.0
('yup', 'wtspc'): 1.0
('terk', 'wtspc'): 1.0
('cinn', 'giz'): 1.0
('sung', 'wtspc'): 1.0
('nup', 'wtspc'): 1.0
('iaht', 'wtspc'): 1.0
('yong', 'ji'): 1.0
('zong', 'wtspc'): 1.0
('kunc', 'wtspc'): 1.0
('sang', 'wtspc'): 1.0
('yig', 'di'): 1.0
('fong', 'wtspc'): 1.0
('aiin', 'wtspc'): 1.0
('bem', 'be'): 1.0
('dong', 'wtspc'): 1.0
('mezz', 'sin'): 1.0
('dud', 'din'): 1.0
('zurg', 'wtspc'): 1.0
('aed', 'din'): 1.0
('ulk', 'si'): 1.0
('kurk', 'le'): 1.0
('vip', 'wtspc'): 1.0
('ibn', 'wtspc'): 1.0
('sind', 'wtspc'): 1.0
('hung', 'wtspc'): 1.0
('rezms', 'ma'): 1.0
('aoiz', 'mi'): 1.0
('relt', 'me'): 1.0
('aoizm', 'wtspc'): 1.0
('was', 'hing'): 1.0
('ael', 'wtspc'): 1.0
('mill', 'wtspc'): 1.0
('balj', 'wtspc'): 1.0
('hayr', 'wtspc'): 1.0
('kenz', 'li'): 1.0
('kuc', 'wtspc'): 1.0
('polk', 'wtspc'): 1.0
('jok', 'wtspc'): 1.0
('rold', 'wtspc'): 1.0
('yv', 'la'): 1.0
('tish', 'wtspc'): 1.0
('bmm', 'nin'): 1.0
('nuks', 'endsntnc'): 1.0
('rick', 'wtspc'): 1.0
('dock', 'wtspc'): 1.0
('paq', 'wtspc'): 1.0
('daq', 'wtspc'): 1.0
('ltd', 'endsntnc'): 1.0
('sgcs', 'wtspc'): 1.0
('larry', 'wtspc'): 1.0
('vald', 'sin'): 1.0
('xun', 'wtspc'): 1.0
('idc', 'nin'): 1.0
('netc', 'raf'): 1.0
('lamp', 'wtspc'): 1.0
('php', 'wtspc'): 1.0
('eof', 'fi'): 1.0
('cddvd', 'wtspc'): 1.0
('uoia', 'wtspc'): 1.0
('pens', 'tack'): 1.0
('tack', 'wtspc'): 1.0
('arm', 'wtspc'): 1.0
('berry', 'wtspc'): 1.0
('rectx', 'wtspc'): 1.0
('pengl', 'wtspc'): 1.0
('lgpl', 'yi'): 1.0
('lond', 'ra'): 1.0
('yic', 'wtspc'): 1.0
('nov', 'wtspc'): 1.0
('bols', 'hinst'): 1.0
('hinst', 'vo'): 1.0
('tock', 'holm'): 1.0
('holm', 'de'): 1.0
('bund', 'wtspc'): 1.0
('gory', 'wtspc'): 1.0
('sandr', 'wtspc'): 1.0
('rovs', 'ki'): 1.0
('tary', 'wtspc'): 1.0
('bonn', 'wtspc'): 1.0
('hersc', 'hel'): 1.0
('rard', 'wtspc'): 1.0
('rits', 'wtspc'): 1.0
('wyt', 'ten'): 1.0
('mannsc', 'haft'): 1.0
('haft', 'wtspc'): 1.0
('westp', 'ha'): 1.0
('dolf', 'wtspc'): 1.0
('lix', 'wtspc'): 1.0
('eist', 'wtspc'): 1.0
('nisc', 'he'): 1.0
('euz', 'nach'): 1.0
('nach', 'da'): 1.0
('nold', 'wtspc'): 1.0
('eutschf', 'ran'): 1.0
('sisc', 'he'): 1.0
('manf', 'ran'): 1.0
('bav', 'ye'): 1.0
('vorw', 'rts'): 1.0
('rts', 'wtspc'): 1.0
('caf', 'wtspc'): 1.0
('vid', 'wtspc'): 1.0
('hess', 'wtspc'): 1.0
('mary', 'wtspc'): 1.0
('burns', 'wtspc'): 1.0
('tism', 'wtspc'): 1.0
('oud', 'ho'): 1.0
('helm', 'wtspc'): 1.0
('gust', 'wtspc'): 1.0
('lich', 'wtspc'): 1.0
('vuc', 'wtspc'): 1.0
('lichsc', 'hap'): 1.0
('aily', 'wtspc'): 1.0
('sevk', 'wtspc'): 1.0
('hodgs', 'ki'): 1.0
('muth', 'dan'): 1.0
('reddy', 'wtspc'): 1.0
('nick', 'wtspc'): 1.0
('nym', 'wtspc'): 1.0
('jennyc', 'he'): 1.0
('iebk', 'necht'): 1.0
('necht', 'wtspc'): 1.0
('loch', 'ner'): 1.0
('carl', 'wtspc'): 1.0
('rads', 'haw'): 1.0
('hobs', 'bawm'): 1.0
('bawm', 'wtspc'): 1.0
('uieu', 'dan'): 1.0
('cest', 'wtspc'): 1.0
('uard', 'wtspc'): 1.0
('berns', 't'): 1.0
('dung', 'wtspc'): 1.0
('hork', 'h'): 1.0
('bbc', 'wtspc'): 1.0
('kutv', 'da'): 1.0
('kev', 'le'): 1.0
('mitry', 'wtspc'): 1.0
('uilsky', 'wtspc'): 1.0
('ieck', 'wtspc'): 1.0
('mk', 'wtspc'): 1.0
('gd', 'wtspc'): 1.0
('kd', 'wtspc'): 1.0
('lent', 'wtspc'): 1.0
('gtk', 'wtspc'): 1.0
('xcf', 'wtspc'): 1.0
('lity', 'wtspc'): 1.0
('cmyk', 'wtspc'): 1.0
('gap', 'wtspc'): 1.0
('raw', 'wtspc'): 1.0
('nugpl', 'wtspc'): 1.0
('jk', 'be'): 1.0
('ranc', 'wtspc'): 1.0
('esk', 'rim'): 1.0
('ferd', 'wtspc'): 1.0
('resm', 'wtspc'): 1.0
('silt', 'wtspc'): 1.0
('nors', 'wtspc'): 1.0
('toph', 'wtspc'): 1.0
('aum', 'wtspc'): 1.0
('bb', 'wtspc'): 1.0
('roms', 'wtspc'): 1.0
('tff', 'wtspc'): 1.0
('tass', 'por'): 1.0
('tals', 'por'): 1.0
('ksv', 'wtspc'): 1.0
('iur', 'fa'): 1.0
('vust', 'ral'): 1.0
('bjk', 'wtspc'): 1.0
('bark', 'ho'): 1.0
('lals', 'por'): 1.0
('kavt', 'wtspc'): 1.0
('dint', 'so'): 1.0
('gsgm', 'wtspc'): 1.0
('ehf', 'wtspc'): 1.0
('ucm', 'wtspc'): 1.0
('tsb', 'wtspc'): 1.0
('eaux', 'wtspc'): 1.0
('owls', 'wtspc'): 1.0
('bant', 'wtspc'): 1.0
('hd', 'wtspc'): 1.0
('ness', 'wtspc'): 1.0
('card', 'wtspc'): 1.0
('cell', 'wtspc'): 1.0
('gsm', 'wtspc'): 1.0
('stp', 'wtspc'): 1.0
('lust', 'ra'): 1.0
('lash', 'wtspc'): 1.0
('ient', 'wtspc'): 1.0
('xhtm', 'le'): 1.0
('css', 'wtspc'): 1.0
('eets', 'wtspc'): 1.0
('raph', 'wtspc'): 1.0
('penty', 'pe'): 1.0
('fonts', 'wtspc'): 1.0
('caps', 'wtspc'): 1.0
('word', 'wtspc'): 1.0
('kins', 'wtspc'): 1.0
('vard', 'wtspc'): 1.0
('aev', 'le'): 1.0
('terfly', 'wtspc'): 1.0
